Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake,image_url
Indian Cobra,Naja naja,1,Assam; West Bengal; Odisha; Maharashtra; Tamil Nadu; Karnataka; Kerala; Rajasthan; Uttar Pradesh,Slender,Smooth,Brown,Hooded,Fixed,Farmlands,Polyvalent Antivenom,"A hooded venomous snake commonly found near farms, forests, and human settlements across India.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Cobra.jpg
Monocled Cobra,Naja kaouthia,1,Assam; Nagaland; Manipur; Mizoram; Tripura; Meghalaya; West Bengal,Elongated,Glossy,Olive,Rounded,Hollow,Wetlands,Polyvalent Antivenom,Recognized by its circular hood mark and commonly seen in northeastern India and marshy regions.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Monocled%20Cobra.jpg
King Cobra,Ophiophagus hannah,1,Nagaland; Assam; Arunachal Pradesh; Meghalaya; Kerala; Karnataka; Tamil Nadu,Massive,Ridged,Greenish,Broad,Short,Rainforests,King Cobra Antivenom,"The world's longest venomous snake, mainly inhabiting dense forests and feeding on other snakes.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/King%20Cobra.jpg
Common Krait,Bungarus caeruleus,1,Punjab; Haryana; Uttar Pradesh; Bihar; Maharashtra; Andhra Pradesh; Tamil Nadu,Cylindrical,Hexagonal,Black,Flattened,Needlelike,Villages,Polyvalent Antivenom,A nocturnal highly venomous snake often entering houses and hiding in dark places.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Common%20Krait.jpg
Banded Krait,Bungarus fasciatus,1,Assam; Nagaland; West Bengal; Odisha; Bihar; Jharkhand; Tripura,Triangular,Striped,Yellow,Blunt,Venomous,Grasslands,Polyvalent Antivenom,Distinctive yellow-black banded snake usually found near water bodies and dense vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Banded%20Krait.jpg
Sind Krait,Bungarus sindanus,1,Rajasthan; Gujarat; Punjab,Robust,Glossy,Dark,Narrow,Sharp,Deserts,Polyvalent Antivenom,A highly venomous nocturnal krait adapted to dry and semi-arid regions of western India.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Sind%20Krait.jpeg
Walls Krait,Bungarus walli,1,Assam; West Bengal; Meghalaya; Arunachal Pradesh,Slim,Silky,Bluish,Oval,Curved,Forests,Polyvalent Antivenom,A rare venomous krait species mostly found in moist forests of eastern India.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Wall's%20Krait.jpg
Greater Black Krait,Bungarus niger,1,Assam; Nagaland; Arunachal Pradesh; Meghalaya,Heavy,Smooth,Jetblack,Small,Injecting,Hillsides,Polyvalent Antivenom,A dark-colored venomous krait inhabiting hilly forest regions of Northeast India.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Greater%20Black%20Krait.jpg
Andaman Cobra,Naja sagittifera,1,Andaman Islands,Stout,Matte,Brownish,Hooded,Fixed,Mangroves,Polyvalent Antivenom,An island cobra species native to the tropical forests and coastal regions of the Andamans.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Andaman%20Cobra.jpg
Nicobar Cobra,Naja sumatrana,1,Nicobar Islands,Compact,Shiny,Blackish,Rounded,Hollow,Woodlands,Polyvalent Antivenom,A rare cobra species inhabiting dense tropical habitats across the Nicobar Islands.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Nicobar%20Cobra.jpeg
Slender Coral Snake,Calliophis melanurus,1,Kerala; Karnataka; Tamil Nadu; Goa,Thin,Sleek,Crimson,Tapered,Minute,Leaflitter,Not Applicable,A small secretive coral snake usually found beneath forest debris in moist habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Slender%20Coral%20Snake.jpg
Bibrons Coral Snake,Calliophis bibroni,1,Tamil Nadu; Kerala; Karnataka; Andhra Pradesh,Flexible,Polished,Orange,Pointed,Grooved,Shrublands,Not Applicable,A brightly colored burrowing coral snake active mainly during nighttime in southern India.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Bibron's%20Coral%20Snake.jpg
Indian Coral Snake,Calliophis nigrescens,1,Maharashtra; Goa; Karnataka; Kerala; Tamil Nadu,Slender,Glossy,Black,Streamlined,Short,Forests,Not Applicable,A venomous forest-dwelling coral snake recognized by its dark body and narrow shape.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Coral%20Snake.jpg
Blue Coral Snake,Calliophis bivirgatus,1,Andaman Islands; Nicobar Islands,Ribbonlike,Smooth,Bluish,Elongated,Sharp,Rainforests,Not Applicable,A vividly colored coral snake known for its long venom glands and secretive behavior.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Blue%20Coral%20Snake.jpeg
Black Coral Snake,Sinomicrurus macclellandi,1,Assam; Arunachal Pradesh; Nagaland; Manipur,Cylindrical,Banded,Blackish,Rounded,Hollow,Hills,Not Applicable,A small venomous coral snake commonly found in cool forested hill regions.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Black%20Coral%20Snake.jpg
